miRNA	Calu3_smallRNA-S1-4h-A	Calu3_smallRNA-S1-4h-B	Calu3_smallRNA-S1-12h-A	Calu3_smallRNA-S1-12h-B	Calu3_smallRNA-S1-24h-A	Calu3_smallRNA-S1-24h-B	Calu3_smallRNA-S2-4h-A	Calu3_smallRNA-S2-4h-B	Calu3_smallRNA-S2-12h-A	Calu3_smallRNA-S2-12h-B	Calu3_smallRNA-S2-24h-A	Calu3_smallRNA-S2-24h-B	Calu3_smallRNA-mock-4h-A	Calu3_smallRNA-mock-4h-B	Calu3_smallRNA-mock-24h-A	Calu3_smallRNA-mock-24h-B	Calu3_smallRNA-untr-4h-A	Calu3_smallRNA-untr-4h-B
hsa-miR-1915-3p	1	3	1	6	1	1	5	5	3	1	1	3	1	2	0	1	2	2
hsa-miR-1915-5p	0	2	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1
hsa-miR-192-3p	5	10	9	15	5	2	2	14	3	1	18	11	18	4	4	5	17	2
hsa-miR-192-5p	404	608	366	659	383	182	296	419	281	265	334	269	1981	667	264	296	795	894
hsa-miR-193a-3p	30	32	16	46	15	9	9	34	23	15	22	14	29	30	4	15	39	13
hsa-miR-193a-5p	207	296	150	248	131	94	161	242	130	100	177	156	371	294	100	158	329	198
hsa-miR-193b-3p	159	214	97	228	97	40	131	244	136	83	131	96	218	180	77	71	238	105
hsa-miR-193b-5p	104	155	80	149	65	54	94	136	38	62	66	61	147	171	65	84	222	113
hsa-miR-194-3p	32	40	17	35	13	10	17	33	10	12	27	10	24	38	9	14	39	33
hsa-miR-194-5p	785	884	665	1142	622	275	322	492	332	373	365	328	4356	1323	675	584	1574	2232
hsa-miR-195-3p	1	0	1	3	2	1	0	0	0	0	1	0	8	1	1	0	2	2
hsa-miR-195-5p	4	11	3	3	6	3	1	2	3	0	1	0	15	3	2	1	7	14
hsa-miR-196a-1-3p	72	76	45	83	52	35	36	32	16	50	43	32	79	86	37	65	115	78
hsa-miR-196a-5p	4047	5154	3033	6220	3730	2102	2538	4063	2316	2833	3862	3065	5395	6263	2402	2449	5682	4465
hsa-miR-196b-3p	3	5	7	4	2	4	2	5	5	1	1	2	10	5	3	2	7	4
hsa-miR-196b-5p	371	470	291	636	317	177	253	407	260	254	259	261	1010	654	216	216	608	682
hsa-miR-197-3p	175	181	104	202	136	70	111	150	78	77	123	81	118	182	79	78	241	71
hsa-miR-197-5p	17	14	6	9	8	5	8	10	8	6	14	7	12	13	9	1	16	5
hsa-miR-1973	0	3	1	3	0	2	1	0	3	1	4	4	0	0	1	2	3	0
hsa-miR-1976	0	2	2	0	0	1	0	4	1	0	2	0	1	1	1	1	2	0
hsa-miR-199a-3p	9	6	6	6	3	6	6	6	3	0	12	0	27	6	9	3	3	3
hsa-miR-199a-5p	0	0	0	4	0	2	0	2	0	0	0	2	2	0	0	8	0	0
hsa-miR-199b-3p	9	6	6	6	3	6	6	6	3	0	12	0	27	6	9	3	3	3
hsa-miR-19a-3p	66	90	47	122	50	17	35	42	34	46	38	36	2432	90	43	30	160	364
hsa-miR-19b-1-5p	0	2	1	3	1	0	3	1	1	1	0	2	10	1	0	0	4	0
hsa-miR-19b-2-5p	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-19b-3p	737	1092	588	1176	618	236	385	730	582	487	604	518	11715	1124	351	412	1414	1982
hsa-miR-200a-3p	322	450	240	558	302	154	198	359	220	177	302	293	1528	495	185	171	605	589
hsa-miR-200a-5p	119	146	82	170	116	81	70	123	66	58	83	55	610	173	71	72	239	352
hsa-miR-200b-3p	3967	4492	2759	5328	2835	1025	1619	2092	1500	1840	2231	1481	10303	6657	2558	2054	7354	8241
hsa-miR-200b-5p	1114	1397	835	1520	830	561	737	1151	554	621	808	701	1778	1500	594	721	1763	1227
hsa-miR-200c-3p	15737	18221	10592	19797	9939	4219	7093	10080	7002	7670	9712	6394	22849	23006	8928	7349	24677	21370
hsa-miR-200c-5p	34	37	16	35	16	2	17	27	9	12	19	18	140	45	18	11	60	59
hsa-miR-202-5p	3	7	4	3	3	2	2	0	1	0	0	1	0	3	1	1	5	1
hsa-miR-203a-3p	43	50	25	55	27	22	21	37	20	29	27	30	145	49	32	16	73	71
hsa-miR-203b-3p	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
hsa-miR-204-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-204-5p	4	5	4	5	0	1	0	1	0	0	1	1	0	2	0	0	0	0
hsa-miR-205-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-205-5p	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-20a-3p	11	12	11	15	12	3	4	13	4	2	11	11	130	32	6	6	26	34
hsa-miR-20a-5p	43	59	20	65	36	7	18	42	35	15	27	21	420	79	29	24	78	90
hsa-miR-20b-3p	0	2	2	4	2	2	3	5	2	0	1	4	3	3	1	3	6	1
hsa-miR-20b-5p	29	50	11	48	34	2	26	36	26	12	41	23	80	36	16	8	55	30
hsa-miR-21-3p	441	561	221	551	307	188	348	591	282	196	277	256	543	431	147	187	456	271
hsa-miR-21-5p	34093	34072	24403	42850	26641	9517	11859	13226	9766	15027	16971	9291	76895	61432	23583	21261	67941	79134
hsa-miR-210-3p	366	688	303	724	381	198	417	710	411	241	362	344	602	429	172	307	681	385
hsa-miR-210-5p	11	13	2	4	2	2	6	9	7	6	0	4	9	5	5	9	9	5
hsa-miR-2110	23	17	14	26	11	6	10	15	10	7	5	6	23	24	11	5	17	10
hsa-miR-2115-3p	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-2115-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
hsa-miR-2116-3p	41	34	17	41	22	10	21	27	26	23	18	13	47	30	11	25	34	37
hsa-miR-2116-5p	9	3	1	3	1	0	1	3	1	2	4	1	1	3	0	0	3	0
hsa-miR-212-3p	6	3	2	3	8	0	2	3	0	1	4	1	12	2	3	2	7	5
hsa-miR-212-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-214-3p	0	1	3	3	1	0	0	2	0	1	0	1	2	0	0	0	1	2
hsa-miR-215-3p	0	1	1	3	7	1	0	0	1	0	0	0	1	0	0	1	0	0
hsa-miR-215-5p	30	13	19	23	29	11	11	13	6	10	19	17	62	26	10	7	27	31
hsa-miR-216a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-216b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-218-1-3p	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
hsa-miR-218-5p	4	6	8	12	4	2	2	0	0	4	4	2	24	21	6	8	26	14
hsa-miR-219a-1-3p	2	7	6	6	5	0	1	1	2	0	0	2	5	6	3	3	4	2
hsa-miR-219a-5p	4	17	3	23	7	4	3	28	16	5	18	7	32	12	1	2	14	15
hsa-miR-219b-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-219b-5p	0	1	0	2	0	0	1	0	0	0	0	0	4	0	0	1	3	2
hsa-miR-22-3p	235	273	165	332	189	102	126	231	197	137	142	142	1361	343	112	115	313	347
hsa-miR-22-5p	29	40	29	48	41	18	12	37	27	25	26	15	98	42	22	17	66	40
hsa-miR-221-3p	2951	4252	2019	4800	2784	1274	1924	3767	2540	1652	2210	2316	4562	4027	1263	1505	4389	3306
hsa-miR-221-5p	22	17	12	43	17	7	10	31	23	14	16	9	119	30	13	8	34	30
hsa-miR-222-3p	9265	10161	5282	12498	5850	2836	5133	8137	4738	4563	5272	4376	14379	13232	4559	3855	13200	10427
hsa-miR-222-5p	51	68	17	56	32	20	39	77	21	24	16	20	87	71	16	18	67	49
hsa-miR-223-3p	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2
hsa-miR-224-3p	2	4	0	6	4	1	1	9	5	5	4	5	4	8	3	2	10	5
hsa-miR-224-5p	547	688	415	961	498	196	299	526	382	452	563	487	1794	923	352	330	917	1025
hsa-miR-2276-3p	4	5	6	9	4	2	1	6	1	6	6	5	8	3	2	3	3	6
hsa-miR-2276-5p	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	1
hsa-miR-2277-3p	4	16	6	15	3	4	2	18	4	8	6	11	9	8	3	7	9	9
hsa-miR-2277-5p	2	2	1	3	2	1	2	2	0	1	1	1	4	7	4	2	2	1
hsa-miR-2278	5	5	2	9	2	3	1	5	2	1	3	2	8	4	1	6	4	7
hsa-miR-2355-3p	3	6	1	4	3	0	0	10	5	2	1	1	15	6	0	1	3	11
hsa-miR-2355-5p	0	3	2	7	3	0	0	3	1	1	2	1	1	5	1	2	3	3
hsa-miR-2392	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-23a-3p	39409	44956	27745	48408	26540	11948	20224	26622	14267	20129	18127	11628	52055	57321	19591	20246	55379	49751
hsa-miR-23a-5p	172	206	104	230	119	80	110	183	98	116	100	97	149	221	49	37	214	116
hsa-miR-23b-3p	18806	21412	12272	24098	12191	4927	9621	13286	7414	9745	8123	5490	31151	29154	11438	10009	29020	26480
hsa-miR-23b-5p	76	92	40	76	31	25	46	69	26	17	30	30	70	68	42	40	117	74
hsa-miR-23c	97	117	74	111	72	25	57	80	34	52	46	30	157	157	59	62	159	164
hsa-miR-24-1-5p	16	20	12	24	16	9	11	15	9	7	17	12	85	26	14	8	37	39
hsa-miR-24-2-5p	76	77	53	125	55	13	36	79	42	44	50	39	229	134	37	30	123	136
hsa-miR-24-3p	37923	50953	29524	54982	29336	18020	24468	41464	20533	20314	25586	22476	141831	53512	20163	25836	67737	77678
hsa-miR-2467-3p	1	1	1	4	0	1	0	0	0	0	1	3	5	2	1	0	1	2
hsa-miR-2467-5p	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-25-3p	6888	8515	5160	9730	5947	3180	3797	5580	3575	3850	5293	4330	17023	10684	4412	5346	10399	11630
hsa-miR-25-5p	41	42	19	47	31	23	35	43	21	21	32	40	51	59	22	18	62	38
hsa-miR-2681-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-3p	2	3	2	2	0	0	3	6	2	0	2	3	3	6	0	4	6	1
hsa-miR-2682-5p	1	2	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1
hsa-miR-26a-1-3p	40	21	17	30	12	10	11	23	5	8	10	9	58	39	31	17	47	41
hsa-miR-26a-2-3p	37	66	39	62	58	34	15	20	15	24	29	19	22	59	29	30	48	40
hsa-miR-26a-5p	899	1165	582	1194	658	340	490	743	411	432	590	409	3182	1617	562	495	1877	1960
hsa-miR-26b-3p	45	38	41	44	24	13	21	23	16	19	23	8	69	87	37	36	73	55
hsa-miR-26b-5p	355	498	254	535	274	148	211	341	170	178	191	196	1071	644	219	203	692	697
hsa-miR-27a-3p	1331	2073	1003	1958	1076	742	876	1583	983	626	919	810	9413	2038	694	947	3181	3787
hsa-miR-27a-5p	54	44	32	81	55	35	23	50	28	21	31	24	126	73	12	19	68	82
hsa-miR-27b-3p	948	1319	701	1295	698	491	517	915	565	419	603	553	4242	1353	508	686	1773	2017
hsa-miR-27b-5p	85	114	53	130	58	42	61	91	26	36	35	39	216	121	34	52	155	123
hsa-miR-28-3p	366	444	251	467	260	135	207	351	179	201	258	241	716	496	180	243	456	396
hsa-miR-28-5p	919	1160	642	1436	724	472	573	1016	553	521	717	660	1928	1409	446	550	1227	1094
hsa-miR-296-3p	0	5	3	2	1	2	1	1	2	0	0	1	7	2	0	3	1	2
hsa-miR-296-5p	6	12	4	9	1	1	5	3	1	4	2	1	7	5	3	3	9	5
hsa-miR-299-3p	1	1	0	2	2	0	0	1	0	1	2	4	0	1	0	1	1	0
hsa-miR-299-5p	12	16	11	7	7	4	2	11	4	4	16	12	21	5	3	4	12	12
hsa-miR-29a-3p	2779	4474	2280	4924	2934	1043	1704	3483	2253	1634	2698	2385	30035	4817	1738	1706	7108	10838
hsa-miR-29a-5p	15	28	9	15	22	7	2	15	20	9	8	15	59	20	6	11	31	29
hsa-miR-29b-1-5p	90	105	37	126	58	25	70	102	62	51	36	50	191	135	32	37	103	82
hsa-miR-29b-2-5p	7	16	8	16	19	3	5	16	15	5	21	16	15	9	2	5	17	18
hsa-miR-29b-3p	2517	3503	2005	3967	2793	928	1235	1909	1450	1462	2468	1724	6338	3504	1490	1508	3772	4034
hsa-miR-29c-3p	165	224	127	279	195	77	81	125	89	102	127	107	2189	248	96	133	323	504
hsa-miR-29c-5p	43	49	29	72	40	9	35	56	45	26	30	29	88	72	17	21	73	60
hsa-miR-301a-3p	82	95	76	198	88	26	41	78	60	48	59	45	510	112	38	43	100	115
hsa-miR-301a-5p	0	0	3	1	4	0	1	0	1	0	0	0	4	3	1	1	6	4
hsa-miR-301b-3p	22	49	41	82	44	20	17	26	36	26	20	24	110	43	7	11	46	36
hsa-miR-301b-5p	2	6	0	2	2	0	4	2	1	1	1	1	1	5	0	0	4	0
hsa-miR-3064-3p	0	2	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0
hsa-miR-3064-5p	1	0	4	4	5	1	4	2	3	1	0	1	3	3	2	3	2	3
hsa-miR-3065-3p	0	2	3	4	0	0	0	1	1	0	0	0	2	2	0	0	0	2
hsa-miR-3065-5p	0	5	0	3	3	1	1	0	2	1	2	1	14	7	1	3	2	4
hsa-miR-3074-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0
hsa-miR-3074-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-30a-3p	5700	6593	3481	8042	4199	2100	3653	5461	2628	3051	3545	3361	9712	8787	2583	2941	8142	6662
hsa-miR-30a-5p	117	169	77	220	92	43	88	139	104	45	79	73	886	225	66	90	356	368
hsa-miR-30b-3p	111	116	80	131	60	51	90	135	51	58	64	47	160	151	47	58	151	105
hsa-miR-30b-5p	279	353	181	446	211	102	135	255	206	129	176	152	1252	384	126	126	528	420
hsa-miR-30c-1-3p	45	57	24	67	35	20	43	53	27	32	28	30	46	52	15	22	68	40
hsa-miR-30c-2-3p	313	379	212	423	221	154	244	376	159	194	235	198	426	442	124	161	421	249
hsa-miR-30c-5p	5284	6283	2760	7641	3286	1151	2813	4635	3035	2295	3013	2289	19164	9786	3008	1690	11937	10156
hsa-miR-30d-3p	61	81	43	86	50	24	30	59	29	35	39	56	120	97	22	41	67	52
hsa-miR-30d-5p	127	147	88	179	96	47	70	97	66	61	85	65	489	216	77	87	308	268
hsa-miR-30e-3p	978	1185	650	1485	823	437	630	901	546	544	673	639	2356	1645	577	587	1588	1620
hsa-miR-30e-5p	19	27	8	37	14	6	12	11	12	6	13	14	160	24	12	4	36	58
hsa-miR-31-3p	128	269	112	272	122	61	84	171	176	85	110	112	452	182	45	92	248	156
hsa-miR-31-5p	10787	12894	6553	15356	7547	4692	8337	14538	7193	5584	8353	7410	20035	13406	4410	5769	16192	10374
hsa-miR-3115	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
hsa-miR-3120-3p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3120-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
hsa-miR-3121-3p	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
hsa-miR-3121-5p	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	2	0	1
hsa-miR-3122	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3124-5p	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-3126-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3127-3p	1	1	1	1	3	1	0	2	0	1	0	1	1	2	3	0	3	2
hsa-miR-3127-5p	1	2	1	1	0	0	3	2	0	1	1	1	0	1	1	1	0	0
hsa-miR-3128	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-3129-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3130-3p	0	4	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-3130-5p	12	4	5	6	4	0	4	15	2	6	8	2	16	6	2	2	2	7
hsa-miR-3136-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0
hsa-miR-3136-5p	1	0	0	1	0	0	1	1	1	0	1	3	0	0	0	0	6	1
hsa-miR-3138	2	6	3	2	0	4	3	7	3	0	3	5	3	1	1	2	6	2
hsa-miR-3140-3p	2	3	0	6	1	0	1	2	2	0	1	0	1	2	0	2	3	2
hsa-miR-3140-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3141	1	0	1	1	0	0	2	0	0	0	0	0	1	3	0	0	0	0
hsa-miR-3143	12	14	9	13	13	5	2	2	4	9	8	5	15	12	2	5	12	10
hsa-miR-3144-3p	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-3144-5p	3	1	1	2	0	2	0	3	1	1	1	2	0	1	1	0	0	0
hsa-miR-3145-3p	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	3	2
hsa-miR-3145-5p	5	6	3	6	3	1	0	2	0	3	3	1	0	4	3	0	1	2
hsa-miR-3146	0	2	0	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0
hsa-miR-3147	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3148	1	1	2	0	1	0	2	1	0	2	1	2	1	2	0	1	3	2
hsa-miR-3149	1	0	0	0	0	0	1	0	1	1	1	0	0	2	0	0	1	0
hsa-miR-3150a-3p	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3150a-5p	4	2	2	2	4	0	0	1	2	0	1	1	1	0	1	2	5	1
hsa-miR-3150b-3p	0	2	1	0	0	1	0	0	0	1	2	2	2	2	1	0	0	1
hsa-miR-3150b-5p	0	1	1	2	1	1	1	2	0	0	0	1	2	0	0	0	0	0
hsa-miR-3157-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
hsa-miR-3157-5p	1	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0
hsa-miR-3158-3p	0	0	0	0	0	0	4	0	2	0	0	0	6	0	0	0	0	2
hsa-miR-3158-5p	2	0	0	2	0	3	1	0	1	0	1	0	4	0	0	0	3	6
hsa-miR-3159	0	1	1	0	1	0	1	1	1	0	1	0	0	1	2	2	1	1
hsa-miR-3160-3p	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	2	0
hsa-miR-3160-5p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3162-3p	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
hsa-miR-3163	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3164	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	2	0
hsa-miR-3165	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
hsa-miR-3166	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3173-3p	4	4	6	4	2	4	5	5	2	3	8	6	7	5	2	3	3	4
hsa-miR-3173-5p	65	61	31	75	27	18	33	48	22	40	54	22	42	61	25	32	52	37
hsa-miR-3174	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0
hsa-miR-3175	1	3	0	0	0	1	0	0	2	0	1	0	4	0	1	2	5	0
hsa-miR-3176	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	2	0	1
hsa-miR-3177-3p	3	4	3	10	1	3	2	2	4	0	1	1	3	4	3	4	6	3
hsa-miR-3177-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0
hsa-miR-3178	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3179	104	40	12	100	56	8	28	64	24	28	28	16	48	128	16	16	80	28
hsa-miR-3180	5	10	10	0	5	0	5	5	0	5	5	25	10	15	0	0	10	5
hsa-miR-3180-3p	5	10	10	0	5	0	5	5	0	5	5	25	10	15	0	0	10	5
hsa-miR-3180-5p	0	15	0	12	3	3	6	3	3	0	0	0	9	9	3	0	3	6
hsa-miR-3181	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3183	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3184-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3187-3p	4	1	1	3	0	1	3	1	3	2	2	0	3	3	1	1	4	5
hsa-miR-3187-5p	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
hsa-miR-3188	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	2	1	0
hsa-miR-3189-3p	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0
hsa-miR-3189-5p	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3190-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-3193	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3194-5p	1	0	0	1	0	0	1	4	0	2	1	0	1	0	0	0	2	1
hsa-miR-3195	0	2	1	1	2	3	0	1	0	0	0	4	1	2	0	0	0	0
hsa-miR-3196	2	0	2	3	0	4	2	1	0	1	1	1	1	1	0	1	1	1
hsa-miR-3197	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-3198	0	0	2	0	0	0	4	0	4	0	0	0	4	0	0	2	0	6
hsa-miR-3199	2	4	0	0	2	0	2	0	0	0	2	0	0	0	2	2	2	2
hsa-miR-32-3p	46	93	55	115	63	35	54	93	43	38	41	48	88	105	32	29	79	54
hsa-miR-32-5p	65	62	65	77	79	28	34	34	19	35	59	40	152	155	60	61	117	205
hsa-miR-3200-3p	54	78	47	107	35	16	41	85	45	28	47	52	97	70	38	23	94	55
hsa-miR-3200-5p	3	4	2	6	3	0	4	2	4	2	4	13	11	8	2	0	10	4
hsa-miR-3202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-320a-3p	507	619	348	691	399	295	346	587	343	255	381	396	544	596	227	349	611	404
hsa-miR-320a-5p	18	37	11	27	17	14	18	37	20	10	28	31	25	22	17	17	33	13
hsa-miR-320b	398	483	302	544	343	298	297	536	262	182	308	347	408	443	195	300	485	309
hsa-miR-320c	46	47	34	27	23	21	22	57	30	13	40	18	70	22	13	38	31	24
hsa-miR-320d	44	45	19	24	21	20	13	48	34	10	25	33	22	40	15	23	28	27
hsa-miR-320e	13	9	6	6	7	7	4	18	10	2	12	5	17	10	1	11	11	6
hsa-miR-323a-3p	72	70	44	79	63	31	28	45	22	29	46	28	114	111	49	45	102	119
hsa-miR-323a-5p	0	0	0	2	0	1	0	2	0	0	0	0	1	1	0	1	2	3
hsa-miR-323b-3p	10	14	8	8	5	6	4	12	9	3	4	7	20	13	6	3	13	12
hsa-miR-323b-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
hsa-miR-324-3p	167	244	99	246	147	92	114	252	148	94	144	143	290	182	82	127	285	176
hsa-miR-324-5p	385	482	281	644	317	175	333	596	297	221	355	310	698	466	169	199	591	384
hsa-miR-326	57	51	42	93	34	28	50	90	51	18	51	33	77	59	28	33	88	61
hsa-miR-328-3p	482	571	294	620	254	163	334	544	326	255	289	250	742	531	208	263	692	473
hsa-miR-328-5p	3	0	1	4	4	2	0	2	2	0	2	4	3	3	2	1	8	3
hsa-miR-329-3p	54	76	40	80	60	36	38	36	28	28	40	32	78	100	36	48	112	98
hsa-miR-329-5p	0	0	0	2	0	0	0	2	2	0	0	0	2	0	0	0	0	0
hsa-miR-330-3p	70	97	43	106	53	25	50	72	40	31	53	46	133	88	38	40	104	88
hsa-miR-330-5p	58	54	29	80	22	10	33	38	21	16	22	18	224	118	43	19	130	171
hsa-miR-331-3p	517	788	461	853	455	360	453	789	363	314	533	440	949	634	291	432	1049	636
hsa-miR-331-5p	22	36	17	28	24	10	10	28	9	10	12	20	48	29	12	14	21	23
hsa-miR-335-3p	223	274	169	335	204	69	140	193	132	153	202	119	195	330	167	160	303	207
hsa-miR-335-5p	545	700	370	844	430	200	304	518	242	313	387	409	2284	1025	312	230	892	1205
hsa-miR-337-3p	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	2	0
hsa-miR-339-3p	73	188	74	181	90	40	76	153	75	51	93	93	204	99	38	55	184	110
hsa-miR-339-5p	26	49	19	41	36	15	33	34	24	7	26	16	57	35	16	21	58	31
hsa-miR-33a-3p	19	31	14	19	17	15	11	22	4	8	15	11	47	23	12	14	26	30
hsa-miR-33a-5p	15	36	15	30	16	18	15	27	21	9	20	15	17	20	4	13	35	17
hsa-miR-33b-3p	8	0	0	7	1	0	2	4	3	0	1	0	3	0	0	6	2	2
hsa-miR-33b-5p	3	11	0	11	2	3	3	9	4	0	3	6	11	4	0	3	9	5
hsa-miR-340-3p	90	129	68	128	69	29	49	58	31	53	72	26	81	159	64	44	131	86
hsa-miR-340-5p	7	12	5	8	2	0	3	10	3	3	3	5	50	4	1	3	10	15
hsa-miR-342-3p	1137	1311	674	1636	730	300	694	1007	676	674	884	656	2428	1792	605	395	1936	1687
hsa-miR-342-5p	42	57	28	62	23	16	24	45	20	22	34	25	68	63	20	17	57	32
hsa-miR-345-3p	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0
hsa-miR-345-5p	104	155	86	176	110	44	68	146	79	43	98	83	196	123	59	76	138	118
hsa-miR-34a-3p	0	1	0	3	0	0	1	1	1	1	1	0	4	3	0	1	2	4
hsa-miR-34a-5p	16	50	17	45	35	7	9	42	25	8	22	19	53	13	10	4	39	29
hsa-miR-34b-3p	20	24	6	22	7	8	8	16	5	8	13	13	12	33	10	5	16	13
hsa-miR-34b-5p	0	2	1	3	0	1	0	2	2	3	2	3	3	1	0	0	1	1
hsa-miR-34c-3p	4	2	2	2	1	0	2	0	2	1	0	2	5	1	0	1	1	2
hsa-miR-34c-5p	2	5	0	5	0	0	0	3	5	0	2	2	2	2	1	0	2	2
hsa-miR-3529-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3529-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3605-3p	64	51	40	60	27	27	34	56	22	21	43	18	62	87	27	32	87	56
hsa-miR-3605-5p	12	5	9	4	7	3	5	7	5	2	7	7	9	10	6	6	15	10
hsa-miR-3609	0	2	1	4	1	1	1	1	0	2	5	2	1	2	0	0	1	0
hsa-miR-361-3p	77	124	52	164	53	29	74	108	83	73	91	64	331	130	42	28	145	129
hsa-miR-361-5p	124	143	82	127	86	40	50	83	74	44	73	53	520	157	74	53	227	239
hsa-miR-3610	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3611	1	1	2	3	3	0	0	0	0	2	2	0	19	3	1	1	10	16
hsa-miR-3613-3p	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
hsa-miR-3613-5p	14	14	7	20	9	8	5	10	4	10	4	3	17	12	7	6	16	14
